[MS Spectrum]
# of Peaks	638
Raw Spectrum	[9.033],(scan:[543])
Background	No Background Spectrum
Base Peak	m/z 584.30 (Inten : 204,806)
m/z	Absolute Intensity	Relative Intensity
300.25	1963	0.96
301.10	2265	1.11
302.05	5178	2.53
303.05	2241	1.09
304.05	2537	1.24
304.95	1450	0.71
305.95	8300	4.05
307.15	2772	1.35
308.20	1772	0.87
309.20	2016	0.98
310.10	6719	3.28
311.15	3651	1.78
312.10	2587	1.26
313.20	3413	1.67
314.15	1762	0.86
315.05	2238	1.09
316.00	1161	0.57
316.95	3014	1.47
318.00	2124	1.04
319.05	1616	0.79
320.10	2128	1.04
321.10	2320	1.13
322.40	5854	2.86
323.15	2634	1.29
324.15	2263	1.10
325.15	3512	1.71
326.05	2694	1.32
327.10	3340	1.63
328.20	2932	1.43
329.10	1775	0.87
330.10	3609	1.76
331.15	1056	0.52
332.00	3865	1.89
333.05	3110	1.52
334.10	2233	1.09
334.95	1942	0.95
335.90	3711	1.81
337.05	2725	1.33
338.05	3120	1.52
339.15	2143	1.05
340.15	2116	1.03
341.20	3162	1.54
342.20	2094	1.02
343.15	2343	1.14
344.15	2642	1.29
345.35	1307	0.64
346.05	2198	1.07
347.15	3379	1.65
348.15	1399	0.68
349.20	2076	1.01
350.15	837	0.41
351.20	10464	5.11
352.25	18366	8.97
353.25	5302	2.59
354.25	5114	2.50
355.15	3465	1.69
356.05	5731	2.80
357.15	2973	1.45
358.15	1729	0.84
359.20	2134	1.04
360.25	3383	1.65
361.20	1919	0.94
362.05	1388	0.68
363.20	2519	1.23
364.20	1453	0.71
365.15	1102	0.54
366.30	3004	1.47
367.00	2899	1.42
368.15	1436	0.70
369.15	1706	0.83
370.25	851	0.42
371.15	5248	2.56
372.15	2707	1.32
373.15	2572	1.26
374.25	506	0.25
375.15	33345	16.28
376.15	8957	4.37
377.20	1882	0.92
377.95	1531	0.75
378.45	1017	0.50
379.15	1605	0.78
380.10	1635	0.80
381.30	1666	0.81
382.35	2259	1.10
383.35	626	0.31
384.15	2271	1.11
385.15	2705	1.32
386.35	2035	0.99
387.35	860	0.42
388.35	744	0.36
389.20	4651	2.27
390.30	2481	1.21
391.25	5244	2.56
392.15	2185	1.07
393.60	5404	2.64
394.15	905	0.44
395.15	1412	0.69
396.20	3416	1.67
397.20	1876	0.92
398.15	1434	0.70
399.10	2468	1.21
400.25	1805	0.88
401.30	1279	0.62
402.25	446	0.22
403.20	1378	0.67
404.25	484	0.24
405.15	1786	0.87
406.15	1198	0.58
407.10	1226	0.60
408.20	1579	0.77
409.20	1945	0.95
410.25	707	0.35
411.15	10330	5.04
412.15	3057	1.49
412.95	1236	0.60
414.05	42033	20.52
415.45	16283	7.95
416.15	2472	1.21
417.30	1471	0.72
418.20	1190	0.58
419.25	1565	0.76
420.05	463	0.23
420.80	1630	0.80
421.45	523	0.26
422.35	534	0.26
423.15	2981	1.46
424.20	1711	0.84
425.15	1606	0.78
426.30	2223	1.09
427.35	1584	0.77
428.25	535	0.26
429.20	3075	1.50
430.20	2057	1.00
431.10	1459	0.71
432.25	877	0.43
433.10	13598	6.64
434.15	4978	2.43
435.15	6800	3.32
436.20	2247	1.10
437.15	1602	0.78
437.95	841	0.41
438.45	546	0.27
439.30	1625	0.79
440.20	1140	0.56
441.05	2113	1.03
442.10	3651	1.78
443.20	1604	0.78
444.15	4860	2.37
445.15	3326	1.62
446.10	2157	1.05
447.20	2315	1.13
448.15	1350	0.66
449.15	3119	1.52
450.25	885	0.43
451.20	5926	2.89
452.50	4298	2.10
453.30	1898	0.93
454.25	3142	1.53
455.25	1502	0.73
456.10	1867	0.91
457.15	2595	1.27
458.05	1423	0.69
459.20	7014	3.42
460.20	4209	2.06
461.20	1870	0.91
462.05	1055	0.52
463.25	792	0.39
464.10	8391	4.10
465.05	2300	1.12
466.05	2707	1.32
467.20	1864	0.91
468.20	1304	0.64
469.20	1527	0.75
470.25	518	0.25
471.10	4836	2.36
472.20	2308	1.13
473.25	2276	1.11
474.20	2296	1.12
475.25	1862	0.91
476.25	1982	0.97
